30-12-2014 18:15 - [garden]   Humidity:23.10,          Temperature:24.80;
30-12-2014 18:16 - [server_room]   Humidity:39.85,          Temperature:18.43;
30-12-2014 18:16 - [garden]   Humidity:23.10,          Temperature:24.72;
30-12-2014 18:16 - [server_room]   Humidity:39.85,          Temperature:18.36;
30-12-2014 18:16 - [garden]   Humidity:23.10,          Temperature:24.72;
30-12-2014 18:17 - [server_room]   Humidity:40.36,          Temperature:18.20;
30-12-2014 18:17 - [garden]   Humidity:23.10,          Temperature:24.72;
30-12-2014 18:18 - [server_room]   Humidity:40.36,          Temperature:18.24;
30-12-2014 18:18 - [garden]   Humidity:23.10,          Temperature:24.72;
30-12-2014 18:19 - [server_room]   Humidity:40.34,          Temperature:18.04;
30-12-2014 18:19 - [garden]   Humidity:23.10,          Temperature:24.64;
30-12-2014 18:19 - [server_room]   Humidity:40.87,          Temperature:18.00;
30-12-2014 18:19 - [garden]   Humidity:23.10,          Temperature:24.64;
30-12-2014 18:20 - [server_room]   Humidity:40.85,          Temperature:17.88;
30-12-2014 18:20 - [garden]   Humidity:23.09,          Temperature:24.64;
30-12-2014 18:20 - [server_room]   Humidity:40.85,          Temperature:17.88;
30-12-2014 18:20 - [garden]   Humidity:23.09,          Temperature:24.64;
30-12-2014 18:21 - [server_room]   Humidity:41.37,          Temperature:17.84;
30-12-2014 18:21 - [garden]   Humidity:23.09,          Temperature:24.56;
30-12-2014 18:21 - [server_room]   Humidity:40.84,          Temperature:17.84;
30-12-2014 18:21 - [garden]   Humidity:23.09,          Temperature:24.56;
30-12-2014 18:22 - [server_room]   Humidity:41.38,          Temperature:17.92;
30-12-2014 18:22 - [garden]   Humidity:23.09,          Temperature:24.60;
30-12-2014 18:22 - [server_room]   Humidity:41.38,          Temperature:17.92;
30-12-2014 18:22 - [garden]   Humidity:23.09,          Temperature:24.64;
30-12-2014 18:23 - [server_room]   Humidity:40.87,          Temperature:18.04;
30-12-2014 18:23 - [garden]   Humidity:23.09,          Temperature:24.56;
30-12-2014 18:23 - [server_room]   Humidity:40.87,          Temperature:18.04;
30-12-2014 18:23 - [garden]   Humidity:23.09,          Temperature:24.56;
30-12-2014 18:24 - [server_room]   Humidity:40.86,          Temperature:17.96;
30-12-2014 18:24 - [garden]   Humidity:23.09,          Temperature:24.56;
30-12-2014 18:25 - [server_room]   Humidity:40.86,          Temperature:18.00;
30-12-2014 18:25 - [garden]   Humidity:23.09,          Temperature:24.52;
30-12-2014 18:26 - [server_room]   Humidity:40.87,          Temperature:18.04;
30-12-2014 18:26 - [garden]   Humidity:23.09,          Temperature:24.52;
30-12-2014 18:26 - [server_room]   Humidity:40.87,          Temperature:18.04;
30-12-2014 18:26 - [garden]   Humidity:23.09,          Temperature:24.48;
30-12-2014 18:27 - [server_room]   Humidity:40.86,          Temperature:18.00;
30-12-2014 18:27 - [garden]   Humidity:23.08,          Temperature:24.48;
30-12-2014 18:27 - [server_room]   Humidity:40.86,          Temperature:18.00;
30-12-2014 18:27 - [garden]   Humidity:23.08,          Temperature:24.44;
30-12-2014 18:28 - [server_room]   Humidity:40.86,          Temperature:17.96;
30-12-2014 18:28 - [garden]   Humidity:23.08,          Temperature:24.44;
30-12-2014 18:28 - [server_room]   Humidity:40.86,          Temperature:17.88;
30-12-2014 18:28 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:29 - [server_room]   Humidity:41.38,          Temperature:17.84;
30-12-2014 18:29 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:29 - [server_room]   Humidity:41.38,          Temperature:17.84;
30-12-2014 18:29 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:30 - [server_room]   Humidity:41.37,          Temperature:17.80;
30-12-2014 18:30 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:30 - [server_room]   Humidity:41.37,          Temperature:17.80;
30-12-2014 18:30 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:31 - [server_room]   Humidity:40.88,          Temperature:18.07;
30-12-2014 18:31 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:32 - [server_room]   Humidity:40.36,          Temperature:18.24;
30-12-2014 18:32 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:33 - [server_room]   Humidity:40.38,          Temperature:18.39;
30-12-2014 18:33 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:33 - [server_room]   Humidity:40.38,          Temperature:18.39;
30-12-2014 18:33 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:34 - [server_room]   Humidity:40.38,          Temperature:18.39;
30-12-2014 18:34 - [garden]   Humidity:23.08,          Temperature:24.36;
30-12-2014 18:34 - [server_room]   Humidity:40.37,          Temperature:18.36;
30-12-2014 18:34 - [garden]   Humidity:23.08,          Temperature:24.36;
30-12-2014 18:35 - [server_room]   Humidity:40.37,          Temperature:18.24;
30-12-2014 18:35 - [garden]   Humidity:23.08,          Temperature:24.36;
30-12-2014 18:35 - [server_room]   Humidity:40.36,          Temperature:18.32;
30-12-2014 18:35 - [garden]   Humidity:23.08,          Temperature:24.40;
30-12-2014 18:36 - [server_room]   Humidity:40.38,          Temperature:18.43;
30-12-2014 18:36 - [garden]   Humidity:23.08,          Temperature:24.36;
30-12-2014 18:36 - [server_room]   Humidity:40.38,          Temperature:18.39;
30-12-2014 18:36 - [garden]   Humidity:23.08,          Temperature:24.36;
30-12-2014 18:37 - [server_room]   Humidity:39.86,          Temperature:18.48;
30-12-2014 18:37 - [garden]   Humidity:23.08,          Temperature:24.32;
30-12-2014 18:37 - [server_room]   Humidity:39.86,          Temperature:18.48;
30-12-2014 18:37 - [garden]   Humidity:23.08,          Temperature:24.32;
30-12-2014 18:38 - [server_room]   Humidity:40.37,          Temperature:18.28;
30-12-2014 18:38 - [garden]   Humidity:23.07,          Temperature:24.28;
30-12-2014 18:39 - [server_room]   Humidity:40.36,          Temperature:18.24;
30-12-2014 18:39 - [garden]   Humidity:23.07,          Temperature:24.28;
30-12-2014 18:40 - [server_room]   Humidity:40.35,          Temperature:18.20;
30-12-2014 18:40 - [garden]   Humidity:23.07,          Temperature:24.28;
30-12-2014 18:40 - [server_room]   Humidity:40.34,          Temperature:18.07;
30-12-2014 18:40 - [garden]   Humidity:23.07,          Temperature:24.28;
30-12-2014 18:41 - [server_room]   Humidity:40.84,          Temperature:17.88;
30-12-2014 18:41 - [garden]   Humidity:23.07,          Temperature:24.24;
30-12-2014 18:41 - [server_room]   Humidity:41.38,          Temperature:17.84;
30-12-2014 18:41 - [garden]   Humidity:23.07,          Temperature:24.24;
30-12-2014 18:42 - [server_room]   Humidity:41.38,          Temperature:17.88;
30-12-2014 18:42 - [garden]   Humidity:23.07,          Temperature:24.28;
30-12-2014 18:42 - [server_room]   Humidity:41.38,          Temperature:17.92;
30-12-2014 18:42 - [garden]   Humidity:23.07,          Temperature:24.24;
30-12-2014 18:43 - [server_room]   Humidity:40.86,          Temperature:18.00;
30-12-2014 18:43 - [garden]   Humidity:23.07,          Temperature:24.20;
30-12-2014 18:43 - [server_room]   Humidity:40.87,          Temperature:18.00;
30-12-2014 18:43 - [garden]   Humidity:23.07,          Temperature:24.20;
30-12-2014 18:44 - [server_room]   Humidity:40.84,          Temperature:17.84;
30-12-2014 18:44 - [garden]   Humidity:23.07,          Temperature:24.16;
30-12-2014 18:44 - [server_room]   Humidity:40.84,          Temperature:17.92;
30-12-2014 18:44 - [garden]   Humidity:23.07,          Temperature:24.20;
30-12-2014 18:45 - [server_room]   Humidity:41.36,          Temperature:17.68;
30-12-2014 18:45 - [garden]   Humidity:23.07,          Temperature:24.24;
30-12-2014 18:46 - [server_room]   Humidity:41.37,          Temperature:17.84;
30-12-2014 18:46 - [garden]   Humidity:23.07,          Temperature:24.24;
30-12-2014 18:47 - [server_room]   Humidity:41.37,          Temperature:17.75;
30-12-2014 18:47 - [garden]   Humidity:23.06,          Temperature:24.16;
30-12-2014 18:47 - [server_room]   Humidity:41.36,          Temperature:17.84;
30-12-2014 18:47 - [garden]   Humidity:23.07,          Temperature:24.16;
30-12-2014 18:48 - [server_room]   Humidity:41.38,          Temperature:17.96;
30-12-2014 18:48 - [garden]   Humidity:23.06,          Temperature:24.16;
30-12-2014 18:48 - [server_room]   Humidity:41.39,          Temperature:17.92;
30-12-2014 18:48 - [garden]   Humidity:23.06,          Temperature:24.16;
30-12-2014 18:49 - [server_room]   Humidity:41.37,          Temperature:17.88;
30-12-2014 18:49 - [garden]   Humidity:23.06,          Temperature:24.16;
30-12-2014 18:49 - [server_room]   Humidity:41.38,          Temperature:17.92;
30-12-2014 18:49 - [garden]   Humidity:23.06,          Temperature:24.16;
30-12-2014 18:50 - [server_room]   Humidity:41.38,          Temperature:17.92;
30-12-2014 18:50 - [garden]   Humidity:23.06,          Temperature:24.16;
30-12-2014 18:50 - [server_room]   Humidity:41.38,          Temperature:17.92;
30-12-2014 18:50 - [garden]   Humidity:23.06,          Temperature:24.16;
30-12-2014 18:51 - [server_room]   Humidity:41.37,          Temperature:17.84;
30-12-2014 18:51 - [garden]   Humidity:23.06,          Temperature:24.12;
30-12-2014 18:51 - [server_room]   Humidity:41.37,          Temperature:17.84;
30-12-2014 18:51 - [garden]   Humidity:23.06,          Temperature:24.12;
30-12-2014 18:52 - [server_room]   Humidity:41.37,          Temperature:17.75;
30-12-2014 18:52 - [garden]   Humidity:23.06,          Temperature:24.16;
30-12-2014 18:53 - [server_room]   Humidity:41.37,          Temperature:17.72;
30-12-2014 18:53 - [garden]   Humidity:23.06,          Temperature:24.12;
30-12-2014 18:54 - [server_room]   Humidity:41.37,          Temperature:17.75;
30-12-2014 18:54 - [garden]   Humidity:23.06,          Temperature:24.08;
30-12-2014 18:54 - [server_room]   Humidity:41.35,          Temperature:17.68;
30-12-2014 18:54 - [garden]   Humidity:23.06,          Temperature:24.08;
30-12-2014 18:55 - [server_room]   Humidity:41.34,          Temperature:17.56;
30-12-2014 18:55 - [garden]   Humidity:23.06,          Temperature:24.12;
30-12-2014 18:55 - [server_room]   Humidity:41.87,          Temperature:17.60;
30-12-2014 18:55 - [garden]   Humidity:23.06,          Temperature:24.12;
30-12-2014 18:56 - [server_room]   Humidity:41.86,          Temperature:17.48;
30-12-2014 18:56 - [garden]   Humidity:23.06,          Temperature:24.16;
30-12-2014 18:56 - [server_room]   Humidity:41.85,          Temperature:17.39;
